Program,Homo
Version,1.3
Input file,Dataset16_tree_order.aln
Data,Amino acids
Sequences,70


Seq. 1.,Seq. 2.,Chi-square,df,p,d_EMS,d_EFS,d_AMS,d_AFS,Sites
Spizellomyces_punctatus,Acropora_digitifera,213.569338,188,9.727973e-02,1.039126e-02,6.500284e-03,3.908123e-01,9.354966e+00,3309
Spizellomyces_punctatus,Platygyra_carnosa,220.545280,187,4.701430e-02,9.762700e-03,6.353593e-03,4.053523e-01,1.046943e+01,3144
Spizellomyces_punctatus,Nematostella_vectensis,312.625025,190,5.047988e-08,1.270623e-02,7.415640e-03,4.347348e-01,1.054758e+01,4143
Spizellomyces_punctatus,Bolocera_tuediae,223.251318,183,2.268724e-02,1.740871e-02,1.219019e-02,5.347298e-01,1.546010e+01,1172
Spizellomyces_punctatus,Aiptasia_pallida,288.000605,186,2.318561e-06,1.423521e-02,8.792827e-03,3.953796e-01,1.295290e+01,2851
Spizellomyces_punctatus,Hormathia_digitata,231.859554,182,7.322612e-03,1.594570e-02,1.089573e-02,4.722964e-01,1.401973e+01,1480
Spizellomyces_punctatus,Aurelia_aurita,261.936324,179,5.231549e-05,1.467694e-02,1.088316e-02,4.718163e-01,1.336172e+01,1882
Spizellomyces_punctatus,Periphylla_periphylla,207.600913,183,1.025946e-01,1.497805e-02,1.098945e-02,4.092802e-01,1.257212e+01,1749
Spizellomyces_punctatus,Hydra_viridissima,237.891581,181,2.904556e-03,1.698476e-02,1.184247e-02,4.865786e-01,1.200639e+01,1912
Spizellomyces_punctatus,Hydra_vulgaris,482.070934,189,1.608140e-27,2.233240e-02,1.256518e-02,6.312690e-01,1.017589e+01,3993
Spizellomyces_punctatus,Hydra_oligactis,273.115989,181,1.141414e-05,1.960639e-02,1.409827e-02,5.401923e-01,1.520779e+01,1494
Spizellomyces_punctatus,Physalia_physalis,361.929260,189,5.682625e-13,2.037285e-02,1.188309e-02,5.543731e-01,1.050885e+01,3264
Spizellomyces_punctatus,Nanomia_bijuga,364.173314,186,1.181721e-13,2.048081e-02,1.116340e-02,6.178843e-01,1.285636e+01,3019
Spizellomyces_punctatus,Agalma_elegans,330.134536,188,6.983372e-10,1.780485e-02,1.061147e-02,5.448562e-01,1.043716e+01,3314
Spizellomyces_punctatus,Abylopsis_tetragona,287.177006,188,4.247703e-06,1.423989e-02,7.826057e-03,4.796793e-01,9.759941e+00,3875
Spizellomyces_punctatus,Craseoa_lathetica,321.224260,184,1.575337e-09,1.914188e-02,1.160095e-02,5.554644e-01,1.112380e+01,2656
Mortierella_verticillata,Rhizopus_oryzae,214.490650,183,5.541410e-02,6.709007e-03,4.499342e-03,1.730581e-01,1.055634e+01,2847
Mortierella_verticillata,Ministeria_vibrans,324.470202,186,1.370184e-09,1.615675e-02,9.684347e-03,4.549426e-01,9.866951e+00,3631
Mortierella_verticillata,Capsaspora_owczarzaki,274.301823,189,4.939086e-05,1.299759e-02,7.761755e-03,3.129279e-01,8.815948e+00,4671
Mortierella_verticillata,Sphaeroforma_arctica,247.152887,184,1.304541e-03,1.048489e-02,9.077012e-03,3.392347e-01,1.194296e+01,2359
